Ngày;Lần cuối;Mở;Cao;Thấp;KL;% Thay đổi
07/03/2023;4,800.0;4,800.0;4,800.0;4,800.0;1.00K;0.00%
06/03/2023;4,800.0;4,500.0;4,900.0;4,500.0;7.10K;2.13%
03/03/2023;4,700.0;4,800.0;4,800.0;4,700.0;0.80K;0.00%
02/03/2023;4,700.0;4,700.0;4,700.0;4,700.0;1.10K;0.00%
01/03/2023;4,700.0;4,800.0;4,800.0;4,700.0;0.20K;2.17%
28/02/2023;4,600.0;4,500.0;4,900.0;4,500.0;13.50K;-6.12%
27/02/2023;4,900.0;4,500.0;4,900.0;4,500.0;5.50K;0.00%
24/02/2023;4,900.0;4,800.0;5,000.0;4,800.0;5.00K;2.08%
23/02/2023;4,800.0;4,900.0;4,900.0;4,800.0;5.40K;-2.04%
22/02/2023;4,900.0;5,000.0;5,000.0;4,900.0;3.60K;-2.00%
21/02/2023;5,000.0;5,100.0;5,200.0;5,000.0;3.90K;-1.96%
20/02/2023;5,100.0;4,800.0;5,100.0;4,800.0;7.70K;6.25%
17/02/2023;4,800.0;4,800.0;4,800.0;4,700.0;12.60K;2.13%
16/02/2023;4,700.0;4,600.0;5,000.0;4,600.0;0.50K;0.00%
15/02/2023;4,700.0;4,700.0;4,800.0;4,700.0;4.60K;0.00%
14/02/2023;4,700.0;4,500.0;4,800.0;4,500.0;2.30K;4.44%
13/02/2023;4,500.0;5,000.0;5,000.0;4,500.0;8.50K;-10.00%
10/02/2023;5,000.0;4,800.0;5,100.0;4,700.0;7.10K;-3.85%
08/02/2023;5,200.0;4,900.0;5,200.0;4,900.0;0.30K;-1.89%
07/02/2023;5,300.0;5,000.0;5,300.0;5,000.0;3.10K;0.00%
06/02/2023;5,300.0;5,000.0;5,300.0;5,000.0;4.60K;-1.85%
02/02/2023;5,400.0;5,000.0;5,400.0;5,000.0;1.10K;3.85%
01/02/2023;5,200.0;5,400.0;5,400.0;5,200.0;7.70K;-3.70%
31/01/2023;5,400.0;5,200.0;5,400.0;5,200.0;6.11K;3.85%
30/01/2023;5,200.0;5,300.0;5,400.0;5,200.0;10.70K;-1.89%
27/01/2023;5,300.0;5,600.0;5,800.0;5,300.0;8.60K;0.00%
19/01/2023;5,300.0;5,100.0;5,300.0;5,000.0;28.00K;0.00%
18/01/2023;5,300.0;5,300.0;5,300.0;5,000.0;17.90K;0.00%
17/01/2023;5,300.0;5,200.0;5,300.0;5,100.0;4.90K;1.92%
16/01/2023;5,200.0;5,100.0;5,200.0;5,100.0;1.10K;0.00%
13/01/2023;5,200.0;4,900.0;5,600.0;4,800.0;33.60K;0.00%
12/01/2023;5,200.0;5,000.0;5,200.0;4,900.0;10.80K;0.00%
11/01/2023;5,200.0;5,200.0;5,300.0;5,200.0;9.40K;0.00%
10/01/2023;5,200.0;5,100.0;5,200.0;5,100.0;0.80K;4.00%
09/01/2023;5,000.0;5,300.0;5,300.0;5,000.0;2.60K;-1.96%
06/01/2023;5,100.0;5,100.0;5,400.0;5,100.0;4.91K;-5.56%
05/01/2023;5,400.0;5,300.0;5,400.0;5,100.0;4.60K;1.89%
04/01/2023;5,300.0;5,600.0;5,600.0;5,300.0;16.20K;-5.36%
03/01/2023;5,600.0;5,300.0;5,700.0;5,300.0;50.10K;3.70%
30/12/2022;5,400.0;5,200.0;5,400.0;5,200.0;21.00K;1.89%
29/12/2022;5,300.0;5,300.0;5,300.0;5,200.0;11.00K;0.00%
28/12/2022;5,300.0;5,400.0;5,400.0;5,100.0;52.40K;0.00%
27/12/2022;5,300.0;5,400.0;5,500.0;5,000.0;2.90K;-3.64%
26/12/2022;5,500.0;5,500.0;5,500.0;5,500.0;0.10K;5.77%
23/12/2022;5,200.0;5,200.0;5,500.0;5,100.0;8.00K;-7.14%
22/12/2022;5,600.0;5,300.0;5,600.0;5,300.0;11.80K;3.70%
21/12/2022;5,400.0;5,400.0;5,500.0;5,000.0;20.41K;-1.82%
20/12/2022;5,500.0;5,700.0;5,700.0;5,200.0;28.00K;-3.51%
19/12/2022;5,700.0;5,500.0;5,700.0;5,100.0;44.60K;1.79%
16/12/2022;5,600.0;5,400.0;5,700.0;5,300.0;10.60K;-3.45%
15/12/2022;5,800.0;5,800.0;5,800.0;5,400.0;47.00K;-1.69%
14/12/2022;5,900.0;5,800.0;6,000.0;5,200.0;24.60K;3.51%
13/12/2022;5,700.0;5,600.0;5,800.0;4,800.0;23.40K;7.55%
12/12/2022;5,300.0;5,900.0;5,900.0;5,300.0;149.60K;-8.62%
09/12/2022;5,800.0;6,000.0;6,200.0;5,400.0;35.20K;-3.33%
08/12/2022;6,000.0;6,000.0;6,000.0;5,500.0;22.75K;3.45%
07/12/2022;5,800.0;5,300.0;6,000.0;5,300.0;15.90K;0.00%
06/12/2022;5,800.0;6,200.0;6,400.0;5,600.0;51.90K;-6.45%
05/12/2022;6,200.0;6,000.0;6,300.0;6,000.0;22.50K;5.08%
02/12/2022;5,900.0;5,900.0;5,900.0;5,600.0;13.10K;0.00%
01/12/2022;5,900.0;5,800.0;5,900.0;5,600.0;20.80K;1.72%
30/11/2022;5,800.0;5,700.0;5,900.0;5,500.0;14.60K;5.45%
29/11/2022;5,500.0;5,500.0;5,500.0;5,200.0;9.70K;7.84%
28/11/2022;5,100.0;4,900.0;5,200.0;4,800.0;24.71K;6.25%
25/11/2022;4,800.0;4,700.0;4,800.0;4,500.0;4.40K;4.35%
24/11/2022;4,600.0;4,700.0;4,700.0;4,400.0;14.30K;0.00%
23/11/2022;4,600.0;4,400.0;4,600.0;4,200.0;33.90K;9.52%
22/11/2022;4,200.0;4,100.0;4,500.0;4,100.0;27.92K;2.44%
21/11/2022;4,100.0;4,200.0;4,200.0;4,100.0;4.20K;0.00%
18/11/2022;4,100.0;3,700.0;4,100.0;3,700.0;12.50K;5.13%
17/11/2022;3,900.0;4,100.0;4,200.0;3,900.0;56.10K;0.00%
16/11/2022;3,900.0;3,900.0;3,900.0;3,700.0;16.41K;8.33%
15/11/2022;3,600.0;3,600.0;3,900.0;3,600.0;32.70K;-7.69%
14/11/2022;3,900.0;3,800.0;4,200.0;3,800.0;0.70K;-7.14%
11/11/2022;4,200.0;4,100.0;4,200.0;4,100.0;5.90K;5.00%
10/11/2022;4,000.0;4,100.0;4,200.0;4,000.0;13.80K;-9.09%
09/11/2022;4,400.0;4,200.0;4,500.0;4,200.0;1.45K;-2.22%
08/11/2022;4,500.0;4,200.0;4,500.0;4,200.0;2.20K;-2.17%
04/11/2022;4,600.0;4,600.0;4,600.0;4,500.0;2.80K;-8.00%
03/11/2022;5,000.0;4,700.0;5,000.0;4,700.0;12.50K;-1.96%
01/11/2022;5,100.0;5,100.0;5,100.0;4,900.0;5.20K;0.00%
31/10/2022;5,100.0;4,800.0;5,100.0;4,800.0;9.45K;0.00%
28/10/2022;5,100.0;5,000.0;5,100.0;4,900.0;12.00K;0.00%
27/10/2022;5,100.0;5,000.0;5,100.0;4,500.0;12.80K;2.00%
26/10/2022;5,000.0;5,100.0;5,100.0;5,000.0;0.40K;0.00%
25/10/2022;5,000.0;5,000.0;5,000.0;4,900.0;11.50K;-7.41%
24/10/2022;5,400.0;5,500.0;5,500.0;5,400.0;9.00K;-8.47%
21/10/2022;5,900.0;5,800.0;5,900.0;5,600.0;14.60K;0.00%
20/10/2022;5,900.0;5,700.0;5,900.0;5,700.0;1.61K;-1.67%
18/10/2022;6,000.0;5,900.0;6,000.0;5,900.0;2.60K;1.69%
17/10/2022;5,900.0;5,900.0;5,900.0;5,700.0;0.50K;0.00%
14/10/2022;5,900.0;5,800.0;6,000.0;5,800.0;16.20K;3.51%
13/10/2022;5,700.0;5,700.0;5,800.0;5,600.0;0.90K;0.00%
12/10/2022;5,700.0;5,900.0;6,100.0;5,700.0;11.90K;-3.39%
11/10/2022;5,900.0;6,500.0;6,500.0;5,900.0;5.50K;-9.23%
10/10/2022;6,500.0;6,500.0;7,400.0;6,200.0;25.30K;-4.41%
07/10/2022;6,800.0;6,900.0;6,900.0;6,700.0;5.60K;-5.56%
06/10/2022;7,200.0;7,000.0;7,400.0;7,000.0;4.60K;-2.70%
05/10/2022;7,400.0;7,400.0;7,400.0;6,800.0;22.90K;0.00%
04/10/2022;7,400.0;7,400.0;7,500.0;7,000.0;4.30K;0.00%
