Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,46.209999,46.990002,45.855000,46.259998,40.076595,1289100
2019-01-03,46.000000,46.099998,44.882999,45.049999,39.028339,1158800
2019-01-04,45.950001,47.180000,45.880001,47.130001,40.830315,1538500
2019-01-07,47.310001,48.110001,46.840000,47.740002,41.358772,954700
2019-01-08,48.709999,49.480000,48.520000,49.209999,42.632286,1921800
2019-01-09,49.689999,49.689999,48.779999,49.410000,42.805553,1839700
2019-01-10,49.070000,50.080002,48.560001,50.049999,43.360012,1808100
2019-01-11,49.799999,50.139999,49.279999,49.869999,43.204067,826500
2019-01-14,49.430000,50.130001,49.200001,49.680000,43.039463,763400
2019-01-15,49.869999,50.160000,49.200001,49.669998,43.030800,898100
2019-01-16,49.520000,49.980000,48.880001,49.570000,42.944164,1456900
2019-01-17,49.459999,51.119999,49.310001,51.000000,44.183022,1327900
2019-01-18,51.090000,51.720001,50.645000,51.290001,44.434261,1298000
2019-01-22,51.299999,51.450001,50.369999,50.810001,44.018421,1795000
2019-01-23,50.820000,51.160000,50.235001,50.610001,43.845158,956400
2019-01-24,50.490002,51.439999,50.490002,50.959999,44.148369,1551600
2019-01-25,51.459999,51.900002,51.090000,51.660000,44.754807,1562300
2019-01-28,51.099998,51.889999,50.474998,51.500000,44.616188,1492200
2019-01-29,51.740002,51.900002,51.259998,51.610001,44.711498,1162600
2019-01-30,51.709999,52.520000,51.540001,52.049999,45.092674,1281100
2019-01-31,51.750000,52.470001,51.450001,51.820000,44.893417,2238200
2019-02-01,52.000000,52.500000,51.689999,52.209999,45.231293,1163900
2019-02-04,52.169998,52.389999,51.880001,52.070000,45.110008,1035000
2019-02-05,52.020000,52.285000,51.419998,51.959999,45.014702,1726400
2019-02-06,51.500000,52.509998,51.500000,51.810001,44.884758,1866800
2019-02-07,51.490002,52.619999,50.209999,52.310001,45.317924,2990900
2019-02-08,52.060001,52.665001,51.369999,52.660000,45.621147,2450400
2019-02-11,52.750000,52.790001,51.880001,52.099998,45.135998,1251200
2019-02-12,52.660000,54.200001,52.660000,53.919998,46.712723,1982900
2019-02-13,53.930000,54.279999,53.650002,54.090000,46.859997,1512000
2019-02-14,53.740002,54.369999,53.560001,53.830002,46.634754,1041300
2019-02-15,54.029999,54.070000,53.275002,53.439999,46.296879,1206300
2019-02-19,53.130001,53.389999,52.505001,53.349998,46.218906,1590700
2019-02-20,53.410000,54.860001,53.330002,54.459999,47.180542,1492800
2019-02-21,54.790001,54.820000,53.814999,54.169998,46.929298,1239700
2019-02-22,54.430000,54.939999,53.959999,54.189999,46.946632,1632900
2019-02-25,54.480000,55.049999,54.470001,54.860001,47.527069,1408300
2019-02-26,54.849998,55.630001,54.730000,55.020000,47.665695,1416400
2019-02-27,55.029999,56.000000,54.939999,55.570000,48.142174,1404000
2019-02-28,55.070000,55.330002,54.215000,54.439999,47.163204,1380400
2019-03-01,54.500000,54.869999,54.150002,54.680000,47.371140,1722700
2019-03-04,54.799999,55.209999,54.240002,55.119999,47.752319,1711700
2019-03-05,54.820000,55.209999,54.270000,54.330002,47.067921,1628200
2019-03-06,54.180000,54.490002,53.880001,54.070000,46.842663,1404700
2019-03-07,53.830002,54.040001,52.380001,52.560001,45.534508,2951800
2019-03-08,52.180000,53.000000,52.139999,52.840000,45.777081,1686600
2019-03-11,52.980000,53.509998,52.840000,53.410000,46.270889,1278600
2019-03-12,53.529999,54.049999,53.415001,53.700001,46.522125,1550200
2019-03-13,54.070000,54.540001,53.018002,53.910000,46.704063,1659400
2019-03-14,53.869999,54.150002,53.450001,53.660000,46.487469,2890500
2019-03-15,53.990002,54.490002,53.264999,53.500000,46.348862,3231300
2019-03-18,53.480000,53.790001,53.290001,53.709999,46.530796,1998100
2019-03-19,54.000000,54.200001,53.520000,53.759998,46.574104,2175700
2019-03-20,53.590000,54.080002,52.880001,53.500000,46.348862,1887600
2019-03-21,52.970001,53.490002,52.799999,53.169998,46.062962,2233900
2019-03-22,52.650002,52.669998,50.430000,50.470001,43.723873,3003900
2019-03-25,50.349998,51.134998,50.110001,50.560001,43.801846,2063300
2019-03-26,51.020000,51.340000,50.740002,51.110001,44.278320,2018200
2019-03-27,50.910000,51.950001,50.889999,51.750000,44.832775,1542400
2019-03-28,51.700001,52.549999,51.520000,52.090000,45.505444,1406900
2019-03-29,52.439999,52.959999,52.150002,52.759998,46.090748,1548900
2019-04-01,53.189999,53.520000,52.689999,53.389999,46.641109,1333300
2019-04-02,53.540001,53.639999,53.095001,53.369999,46.623634,1336900
2019-04-03,53.599998,54.527000,53.590000,53.950001,47.130325,1061100
2019-04-04,53.910000,54.570000,53.840000,54.439999,47.558380,965200
2019-04-05,54.349998,54.779999,53.915001,54.070000,47.235149,1344500
2019-04-08,54.169998,54.380001,53.695000,54.070000,47.235149,1170000
2019-04-09,54.040001,54.040001,52.950001,53.279999,46.545017,1585500
2019-04-10,53.480000,53.669998,53.000000,53.020000,46.317886,1395000
2019-04-11,52.830002,52.880001,52.040001,52.220001,45.619011,1940300
2019-04-12,52.650002,52.650002,51.580002,52.130001,45.540382,1992400
2019-04-15,52.189999,53.240002,52.099998,53.029999,46.326618,1289300
2019-04-16,53.000000,53.562000,52.990002,53.299999,46.562489,1183300
2019-04-17,53.590000,53.970001,53.275002,53.840000,47.034233,1687200
2019-04-18,53.560001,54.084999,53.459999,54.020000,47.191479,1215700
2019-04-22,53.880001,54.240002,53.540001,53.810001,47.008015,1153900
2019-04-23,53.509998,54.119999,53.193001,54.040001,47.208946,1252300
2019-04-24,53.840000,53.840000,52.785000,52.990002,46.291672,1405300
2019-04-25,52.840000,53.459999,52.840000,53.110001,46.396511,1066900
2019-04-26,53.320000,53.855000,52.970001,53.790001,46.990551,1145800
2019-04-29,53.779999,53.919998,53.419998,53.730000,46.938133,1311900
2019-04-30,53.709999,54.340000,53.369999,54.180000,47.331245,1077500
2019-05-01,54.320000,54.480000,53.450001,53.639999,46.859516,1420200
2019-05-02,53.480000,54.419998,52.430000,52.740002,46.073280,1893100
2019-05-03,52.930000,54.180000,52.930000,53.990002,47.165272,1684400
2019-05-06,52.880001,53.799999,52.680000,53.299999,46.562489,1567100
2019-05-07,52.669998,53.130001,51.099998,51.340000,44.850246,3283900
2019-05-08,51.330002,51.805000,51.070000,51.610001,45.086124,2176000
2019-05-09,51.110001,51.139999,50.270000,50.599998,44.203789,2907900
